ngo_id,date_added,latin_name,arabic_name,country,address,governorate,phone,email,date_of_creation,type_of_organization,target_group,president,director,secretary_general,treasurer,missions_and_goals,impact_of_ong,activities,building_networks_and_alliances,other,publications,training_and_capacity_building,research_resources_and_production,exchange_of_information_know-how_and_experience,website
46,2014-11-06 21:56:31.251755,Association l\'avenir jeunes el Hamma,جمعية المستقبل الشبابية بالحامة,تونس/Tunisia,09 نهح أحمد بوشلاكة قابس,قابس,+ 216 52133189,mckhalil212@gmail.com,2012-01-05,شبابية,الشباب,عادل صدوقي,خليل مخلبي,حسن حمدي,مبارك زائري,"تهدف هذه الجمعية إلى الإهتمام بالمجال الثقافي و الإجتماعي, تنظيم أنشطة ثقافية و إجتماعية و رياضية و تربصات و ندوات للشباب",جهوي,"ندوة تحت عنوان المواطنة الفاعلة للشباب, تكوين بعض الفتايات في مجال حقوقهن في العمل : الأجر و الإجازات في معمل النسيج",الربط مع الجمعيات الأخرى,,,تحديد برامج للعمل,البحث عن الفئة المستهدفة و التمويل,,
47,2014-11-06 21:56:44.865453,Association Horizons El Kef pour le Développement Durable,جمعية آفاق الكاف للتنمية المستديمة,تونس/Tunisia,الكاف,الكاف,+ 216 98988600,asociations.horizons.el.kef@gmail.com,2011-04-28,تنموية,كل شرائح المجتمع,سارة بالضياف,,صباح هدّاوي,ناجية مشراوي,دعم ثقافة المواطنة والدفاع عن مبدأ المساواة بين جنسين,جهوي,"المشاركة في مهرجان بومخلوف, تنظيم حملات توعية حول سرطان الثدي, التعريف ببعض المساجين السياسيين وتنظيم لقاءات معهم",,,,,,,
48,2014-11-06 21:56:55.978311,Union diplomés chomeurs,أصحاب الشهادات المعطلين عن العمل,تونس/Tunisia,حي الخضراء بوسالم 8170,جندوبة,+ 216 22346563,,2011-06-19,اجتماعية,اصحاب الشهادات المعطلين عن العمل,محمد عي غيطري,فتحية ورتاني,هناء ورتاني,مهران مساكني,,,"المشاركة في الندوات الوطنية حول التشغيل, القيام بمحاضرة حول كيف نطالب بحقوقنا   العالية والتاريخية, تدعيم النشاط الثقافي",,,تقارير واحصائيات حول وضع نسب البطالة,,,,
49,2014-11-06 21:57:09.103100,League of Tunisian Humanists,رابطة التونسيين الأنسنيين,تونس/Tunisia,سوسة,سوسة,+ 216 23844744,"LTH.emailing@gmail.com, hheellaabb@gmail.com",2011-11-01,ثقاقية,المواطنون٬ شباب وكهول,هالة بوجناح,,جهاد المرجيسي,سامي لمني,"العمل على ترسيخ قيم التسامح و الحوار, تدعيم أواصر الأنسانية, السعي إلى نشر قيم المواطنة وقبول الآخر رغم الإختلاف",,"حملات لجمع مساعدات كالأغطية ٬الملابس والمال للعائلات المعوزة و التى تضررت من المناخ خلال عواصف الثلوج في تونس, فيديوات تحسيسية تدور حول مبادئ إنسانية",,تأسيس علاقات مع المنظمات الإنسانية العالمية,,تكوين و تدريب الهيئة المديرة لتحسين مردودها و تسييرها للجمعية,التعاقد مع ممول يشاركنا ويؤمن بأهدافنا وأهمية تحقيقها,,
50,2014-11-06 21:57:14.212718,ACT du Kef,جمعية فنون للسينما والمسرح بالكاف,تونس/Tunisia,مسرح الجيب، نهج طارق ابن زياد-7100,الكاف,+ 216 98 285233,actdukef@gmail.com,2011-04-29,ثقافية,كل شرائح المجتمع,أمير قديش,سليم مقري,رجب مقري,هيثم بن قدري,إحياء وإرساء ثقافة فنية بديلة بكامل الجمهورية وخاصة بجهة الكاف,,"تنظيم حملات ثقافية تحسيسيّة حول المديونية للبلاد التونسية  في كل من المنستير والكاف وتونس وذلك بالتعاون مع منظمة REDATTAC, إنشاء اوّل دورة لمهرجان سينما الطفل في الكاف, إستضافة المجموعة العالمية المندية (LABES) وتنظيم سهرة فنيّة غنائية في الكاف وتنظيم سهرتان في تونس العاصمة وسهرة في سوسة",,,تنشيط مسرح الجيب بمدينة الكاف,,,,www.facebook.com/actdukef
51,2014-11-06 21:57:21.333879,Association l\\\\\\\'Espoir,جمعية الأمل,تونس/Tunisia,عمارة الدكتور مصطفى المشراوي بجانب المحكمة الابتدائية بالكاف,الكاف,,hamidrd@yahoo.fr,2011-12-01,حقوقية,جميع شرائح المجتمع,محمد نجيب الحسني,منير المهذبي,أحمد رضا حمدي,عبد النبي البليلي,"تنمية الحسّ المدني لدى سكان جهة الكاف, العمل على الاستثمار الايجابي للمكاسب الديمقراطية بما يتماشى مع التنمية الجهوية المستدامة",جهوي,"ضبط برامج مشاريع إسكان: حي المنجم بساقية سيدي يوسف وحي سيدي منصور بالكاف, تنظيم أنشطة ثقافية احتفالا بالذكرى الأولى للثورة التونسية, بعث فرع للجمعية بمعتمدية تاجروين",إقامة شراكات مع جمعيات وهيئات لها نفس الأهداف,,,التكوين في مجال إدارة الجمعيات,,ربط علاقات تعاون مع مراصد ومراكز البحث,
52,2014-11-06 21:57:31.460146,Association femmes et progrés,جمعية المرأة والتقدم,تونس/Tunisia,21، نهج قابس بالكاف,الكاف,+ 216 98740952,"rachagher@hotmail.fr, thlijenehenda@hotmail.fr",2011-05-05,نسوية,النساء,هندة ثليجان,هادية هوامي,أسماء قاسمي,رشيدة غرياني,تأطير النساء وبناء الحسّ المدني والحقوقي لديهن,جهوي,"تنظيم ملتقيات مع تلاميذة  مدارس ريفية بالجهة  حول مفهوم المواطنة, تنظيم لقاءات توعية للنساء الريفيات  حول سرطان الثدي, المشاركة في ترميم وتصليح مبنى مدرسة الدبر بالتعاون مع برنامج",,,,,,,
53,2014-11-06 21:57:39.585065,Forum 14 Janvier pour les femmes : sousse,منتدى 14 جانفي للمرأة فرع سوسة,تونس/Tunisia,دار المنظمات بالمكنين,سوسة,"+ 216 98982909, + 216 73371607",Boutheina-bergaoui@hotmail.fr,2011-02-26,نسوية,النساء,لطيفة الكوكي,,ثريا منصور,إلهام فخامة,"الدفاع عن مكاسب المرأة وتطويرها, النضال من أجل المساوة الفعلية بسن النساء والرّجال, تعزيز دور النساء وتمكينهن من المشاركة في الحياة السياسيّة والاجتماعية والثقافية",جهوي,"أنشطة ميدانية في أحياء شعبية, محاضرات حول دسترة حقوق النساء و حول العدالة الإنتقالية, حملات تحسيسية في فترة الانتخابات, حملات توعوية حول وضعية النساء في المعامل",,طرق التواصل,نشر ثقافة حقوق الانسان في المناطق الريفية وفي المبيتات الجامعية وفي المعامل والمصانع,صياغة وتنفيذ المشاريع,مصادر التمويل لانجاز المشاريع,,
54,2014-11-06 21:57:53.718122,Association Gabes Action,جمعية قابس الفاعلة,تونس/Tunisia,شارع محمد علي ٬ أمام الإتحاد العام التونسي للشغل ٬ قابس 6000,قابس,+ 216 22923257,association.gabes.action@gmail.com,2012-02-14,تنموية,سكان و زوار مدينة  قابس خاصة والمواطنون التونسيون عامة,عبد الرحمان حاج بلقاسم,,ظافر حسين,ليليا المؤدب,"المساهمة في التنمية الشاملة و المستدامة بولاية قابس خاصة, ترسيخ مبدأ المواطنة والعمل التطوعي ونشر الثقافة الحقوقية, إنشاء شراكات مع منظمات وجمعيات أخرى داخل وخارج الوطن",جهوي,,الإطار القانوني والإداري,,,التنظيم الإداري والمالي,,,Facebook group: association.gabes. action
55,2014-11-06 21:58:07.847024,VTAIM,الاتحاد التونسي لإغاثة الأشخاص القاصرين ذهنيا,تونس/Tunisia,فرع الاتحاد ببوسالم المدينة النموذجية بالروماني,جندوية,+ 216 20144449,,0000-00-00,حقوقية صحية,ذوو الاعاقة الذهنية,محمد صالح الهميسي,كمال الدين البلدي,عبد الستار عبد اللطيف,مختار الشيحي,ا فحاطة بأصحاب الإعاقات الذهنية وإعادة التاهيل والإعداد لاندماج ضمن المجتمع وفي سوق الشغل,جهوي,"أنشطة ثقافية ترفيهية, دعوة كادر طبي للقيام بالفحوصات اللآزمة, دعوة المنظمات الانسانية على غرار الهلال الأحمر والجمعيات",عدم وجود الخبرة والآليات,,,الحاجة إلى كادر مختص في مجال تدريس حقوق الإنسان,قلة الموارد احد أهم المعوقات نحو تحسيس ضروف القاصرين ذهنيا,تحتاج غلى بنك معلومات ودروات تدريبية,
56,2014-11-06 21:58:17.959206,Association Irtikaa pour une Participation Féminine Active,جمعية ارتقاء من أجل مشاركة نسائية فاعلة,تونس/Tunisia,1 نهج المتفرع من نهج اثينا 1002 تونس,تونس,+ 216 71259502,irtikaa.org@gmail.com,2011-04-01,نسوية,النساء,ليلى الشابي العياري,,أمينة الزواري,فاتن الزوالي,نتطلع إلى المساهمة في النهوض بواقع المرأة ثقافيا واجتماعيا وسياسيا وتمكينها من المساهمة الكاملة في عملية التحول الديمقراطي,,"دورة تدريبية حول التربية على الديمقراطية داخل الأسرة, المشاركة في تظاهرة الاحتفال باليوم العالمي للمرأة, ندوة حول حقوق المرأة ودورها في الانتقال الديمقراطي, ندوة حول العلاقة بين الحريات الفردية والقضاء العام, ندوة افتتاحية تحت عنوان المراة داخل الأحزاب السياسية بين التوظيف والتمكين",ربط الصلة مع جمعيات متقاربة ومتماثلة مع اهداف الجمعية,,"مطويات للتعريف بالجمعية واهدافها, مشروع لتطوير مهارات القيادة للطالبات وللنساء العاملات",دورات تدريبية لأعضاء وهياكل الجحمعية لكتساب القدرات لتسيير الفضل للجمعية,,المشاركة في المزيد من الأنشطة لتبادل المعلومات والمعرفة والتجارب,
